treated,trump_approval,video_id,vote_pres_2020,vote_pres_2024,democratic_party_fav,republican_party_fav,trump_fav,biden_fav,text,maxdiff_mean,sample_size,partisanship,persuadability_score
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat unfavorable,Very Favorable,Very Unfavorable,,,,Republican,0.5555986746253244
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Republican,0.780679918129898
0,1,,other_did_not_vote,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.4955947370540501
0,1,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.2756629164695831
0,1,,Republican Donald Trump,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.9770932058883885
0,1,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Independent,0.08028335555826926
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Independent,0.5903838832946586
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.8948436070109567
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Independent,0.22100614797689333
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.6339538430781313
0,0,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Very Unfavorable,,,,Republican,0.6612399793829061
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.034704356363216005
0,1,,Democrat Joe Biden,Republican Donald Trump,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Independent,0.20402398434323032
0,0,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Unfavorable,Very Unfavorable,,,,Republican,0.8908001203638777
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Independent,0.4933453599771671
0,1,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.24762149600582428
0,1,,other_did_not_vote,other_did_not_vote,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Independent,0.5732277280965555
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Very Unfavorable,,,,Independent,0.29834104908665515
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Very Unfavorable,,,,Independent,0.3370690250008962
0,0,,Democrat Joe Biden,other_did_not_vote,Somewhat favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Independent,0.6534042676015303
0,0,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.866888277378262
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.8342033507732898
0,0,,other_did_not_vote,other_did_not_vote,Very favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.928532559885471
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.6808284248099901
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.4572352622583201
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.28984125816970197
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.37661805167071516
0,1,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Independent,0.6390954379060431
0,0,,other_did_not_vote,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.7132840352478143
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.3449696739241557
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat unfavorable,Somewhat Favorable,Very Unfavorable,,,,Independent,0.6246808759103261
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.41447588190986284
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.21123496128880603
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.49173306330549404
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Somewhat Unfavorable,,,,Republican,0.7470325083585329
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.7925747850366734
0,0,,Democrat Joe Biden,other_did_not_vote,Somewhat favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Democrat,0.5466604897197523
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.26826224081887207
0,0,,other_did_not_vote,other_did_not_vote,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Independent,0.4652993001031379
0,0,,other_did_not_vote,other_did_not_vote,Never heard of/Not sure,Never heard of/Not sure,Very Unfavorable,Somewhat Unfavorable,,,,Independent,0.2046675765789716
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Independent,0.8032886527784789
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Independent,0.905114869116591
0,1,,other_did_not_vote,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Independent,0.660616224941514
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat unfavorable,Very Favorable,Very Unfavorable,,,,Republican,0.2797363035411684
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.006686312888641521
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.8430637744404751
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Independent,0.3714711428848517
0,0,,Democrat Joe Biden,Republican Donald Trump,Never heard of/Not sure,Never heard of/Not sure,Somewhat Unfavorable,Somewhat Favorable,,,,Republican,0.05199105022698969
0,0,,other_did_not_vote,Republican Donald Trump,Very unfavorable,Very unfavorable,Very Unfavorable,Very Unfavorable,,,,Independent,0.4951121578653711
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Somewhat Unfavorable,Somewhat Favorable,,,,Democrat,0.8533429186078519
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Never heard of/Not sure,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.6350618206138889
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.8536801391153934
0,1,,Democrat Joe Biden,Republican Donald Trump,Very unfavorable,Somewhat unfavorable,Very Favorable,Very Unfavorable,,,,Independent,0.9186957056300676
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.31222790539444945
0,0,,Republican Donald Trump,other_did_not_vote,Very unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Very Unfavorable,,,,Republican,0.5622660178685689
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.017052562020772988
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.9439754689016102
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Somewhat Favorable,Very Unfavorable,,,,Republican,0.7617633551873491
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat favorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Republican,0.9078838299619649
0,0,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Never heard of/Not sure,Very Unfavorable,Somewhat Unfavorable,,,,Independent,0.8120736020103101
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.9201209611203758
0,1,,Democrat Joe Biden,Republican Donald Trump,Very favorable,Very favorable,Very Favorable,Very Favorable,,,,Republican,0.7453762072271253
0,1,,other_did_not_vote,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.880982249381255
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.5598497692101434
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.6663607035311666
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.15694637565372227
0,1,,other_did_not_vote,other_did_not_vote,Somewhat unfavorable,Somewhat unfavorable,Very Favorable,Very Unfavorable,,,,Independent,0.1790363238081769
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.38352866521084483
0,1,,Republican Donald Trump,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.27504301374415374
0,0,,other_did_not_vote,other_did_not_vote,Never heard of/Not sure,Never heard of/Not sure,Very Unfavorable,Very Favorable,,,,Independent,0.7790358156740772
0,1,,other_did_not_vote,Republican Donald Trump,Somewhat favorable,Somewhat favorable,Somewhat Favorable,Somewhat Favorable,,,,Republican,0.5099425741589312
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.11476724156105811
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.5795691177200855
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.08851021982579088
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.7389814879516338
0,1,,other_did_not_vote,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.8403121855740049
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.4598884683984795
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.8952731858716257
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.9061920713981253
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.6085947071960848
0,1,,other_did_not_vote,other_did_not_vote,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.20405527480574703
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.3966055352639857
0,0,,Democrat Joe Biden,other_did_not_vote,Somewhat favorable,Somewhat unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.4270294805843794
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very unfavorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.3428352962226171
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.6990618641252341
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.8570630210922954
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.07303877205888143
0,0,,other_did_not_vote,Democrat Kamala Harris,Never heard of/Not sure,Never heard of/Not sure,Very Unfavorable,Somewhat Unfavorable,,,,Independent,0.7386595313624433
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Somewhat Unfavorable,,,,Democrat,0.628755423794394
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.688961708862051
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat unfavorable,Very Favorable,Very Unfavorable,,,,Independent,0.1111193174910351
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat favorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.32472334141171644
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.7156361701700606
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.6957646743726021
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat favorable,Somewhat favorable,Very Favorable,Somewhat Favorable,,,,Independent,0.5730169782398594
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Somewhat favorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Republican,0.6992552154669048
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Independent,0.03828668437037652
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Somewhat Favorable,Not sure/Never Heard of,,,,Republican,0.8838814395448896
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.48934578328261435
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Unfavorable,,,,Democrat,0.8785873257688757
0,0,,Democrat Joe Biden,other_did_not_vote,Never heard of/Not sure,Somewhat favorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.210572707354724
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.40001549664997893
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Somewhat favorable,Very Favorable,Very Unfavorable,,,,Republican,0.5103965848567321
0,0,,other_did_not_vote,other_did_not_vote,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.43933850957654563
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.030840120292556672
0,1,,Republican Donald Trump,Republican Donald Trump,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,,,,Republican,0.43295533383951035
0,1,,Republican Donald Trump,Republican Donald Trump,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,,,,Independent,0.659594313361174
0,1,,Republican Donald Trump,Democrat Kamala Harris,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,,,,Republican,0.8082108199266173
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Democrat,0.853622687581923
0,0,,other_did_not_vote,other_did_not_vote,Very unfavorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Unfavorable,,,,Independent,0.7325174915411881
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,,,,Independent,0.7749247281700148
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,,,,Democrat,0.772542054760871
